Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.638,0,0.638,0.00380792,0.638,0.00342389,0.638,0.00342389
0.64,0,0.64,0.00381891,0.64,0.00343363,0.64,0.00343363
0.642,0,0.642,0.0038277,0.642,0.00344337,0.642,0.00344337
0.644,0,0.644,0.00384967,0.644,0.0034726,0.644,0.0034726
0.646,0,0.646,0.00387604,0.646,0.00350182,0.646,0.00350182
0.648,0,0.648,0.00388922,0.648,0.00351156,0.648,0.00351156
0.65,0,0.65,0.00390021,0.65,0.00352617,0.65,0.00352617
0.652,0,0.652,0.003909,0.652,0.00353591,0.652,0.00353591
0.654,0,0.654,0.00391998,0.654,0.00354565,0.654,0.00354565
0.656,0,0.656,0.00393976,0.656,0.00357,0.656,0.00357
0.658,0,0.658,0.00396393,0.658,0.00359436,0.658,0.00359436
0.66,0,0.66,0.00397711,0.66,0.00359923,0.66,0.00359923
0.662,0,0.662,0.0039859,0.662,0.00360897,0.662,0.00360897
0.664,0,0.664,0.00399469,0.664,0.00361871,0.664,0.00361871
0.666,0,0.666,0.00400348,0.666,0.00362358,0.666,0.00362358
0.668,0,0.668,0.00402326,0.668,0.00363819,0.668,0.00363819
0.67,0,0.67,0.00404523,0.67,0.0036528,0.67,0.0036528
0.672,0,0.672,0.00405402,0.672,0.00366254,0.672,0.00366254
0.674,0,0.674,0.00406281,0.674,0.00366741,0.674,0.00366741
0.676,0,0.676,0.0040716,0.676,0.00367228,0.676,0.00367228
0.678,0,0.678,0.00407819,0.678,0.00367715,0.678,0.00367715
0.68,0,0.68,0.00409796,0.68,0.00368689,0.68,0.00368689
0.682,0,0.682,0.00411774,0.682,0.00369663,0.682,0.00369663
0.684,0,0.684,0.00412873,0.684,0.0037015,0.684,0.0037015
0.686,0,0.686,0.00413752,0.686,0.00370637,0.686,0.00370637
0.688,0,0.688,0.00414631,0.688,0.00371124,0.688,0.00371124
0.69,0,0.69,0.00415509,0.69,0.00371612,0.69,0.00371612
0.692,0,0.692,0.00417267,0.692,0.00372099,0.692,0.00372099
0.694,0,0.694,0.00419465,0.694,0.00373073,0.694,0.00373073
0.696,0,0.696,0.00420563,0.696,0.0037356,0.696,0.0037356
0.698,0,0.698,0.00421442,0.698,0.00374047,0.698,0.00374047
0.7,0,0.7,0.00422321,0.7,0.00374047,0.7,0.00374047
0.702,0,0.702,0.004232,0.702,0.00374534,0.702,0.00374534
0.704,0,0.704,0.00425178,0.704,0.00375021,0.704,0.00375021
0.706,0,0.706,0.00427595,0.706,0.00375995,0.706,0.00375995
0.708,0,0.708,0.00428693,0.708,0.00376482,0.708,0.00376482
0.71,0,0.71,0.00429572,0.71,0.00376482,0.71,0.00376482
0.712,0,0.712,0.00430451,0.712,0.00376969,0.712,0.00376969
0.714,0,0.714,0.0043133,0.714,0.00376969,0.714,0.00376969
0.716,0,0.716,0.00433308,0.716,0.00377456,0.716,0.00377456
0.718,0,0.718,0.00435505,0.718,0.00377943,0.718,0.00377943
0.72,0,0.72,0.00436823,0.72,0.0037843,0.72,0.0037843
0.722,0,0.722,0.00437702,0.722,0.00378917,0.722,0.00378917
0.724,0,0.724,0.00438581,0.724,0.00378917,0.724,0.00378917
0.726,0,0.726,0.0043946,0.726,0.00379404,0.726,0.00379404
0.728,0,0.728,0.00441657,0.728,0.00379891,0.728,0.00379891
0.73,0,0.73,0.00444074,0.73,0.00380865,0.73,0.00380865
0.732,0,0.732,0.00445173,0.732,0.00381352,0.732,0.00381352
0.734,0,0.734,0.00446052,0.734,0.00381839,0.734,0.00381839
