Time - Fc (N),Amplitude - Fc (N),"Time - Base Plate, Road (m)","Amplitude - Base Plate, Road (m)","Time - Middle Plate,  VehicleTire (m)","Amplitude - Middle Plate,  VehicleTire (m)","Time - Top Plate, Vechile Body (m)","Amplitude - Top Plate, Vechile Body (m)"
0.468,0.893302,0.468,0.00831239,0.468,0.00744197,0.468,0.00723463
0.47,0.895839,0.47,0.00832996,0.47,0.00745658,0.47,0.00724924
0.472,0.89835,0.472,0.00834535,0.472,0.00746632,0.472,0.00725898
0.474,0.900836,0.474,0.00836292,0.474,0.00747119,0.474,0.00726385
0.476,0.903296,0.476,0.00840028,0.476,0.0074858,0.476,0.00726903
0.478,0.90573,0.478,0.00844422,0.478,0.00751503,0.478,0.00729826
0.48,0.908138,0.48,0.008464,0.48,0.00752964,0.48,0.00731287
0.482,0.91052,0.482,0.00848158,0.482,0.00754425,0.482,0.00731805
0.484,0.912875,0.484,0.00849696,0.484,0.00755399,0.484,0.0073278
0.486,0.915203,0.486,0.00851234,0.486,0.00756373,0.486,0.00733754
0.488,0.917505,0.488,0.00854969,0.488,0.00758808,0.488,0.00735246
0.49,0.919779,0.49,0.00858925,0.49,0.00762218,0.49,0.00737713
0.492,0.922026,0.492,0.00860902,0.492,0.00763679,0.492,0.00738232
0.494,0.924246,0.494,0.0086244,0.494,0.0076514,0.494,0.00739693
0.496,0.926438,0.496,0.00863978,0.496,0.00766601,0.496,0.00740212
0.498,0.928601,0.498,0.00865736,0.498,0.00767575,0.498,0.00741186
0.5,0.930737,0.5,0.00869472,0.5,0.0077001,0.5,0.00742678
0.502,0.932844,0.502,0.00873427,0.502,0.0077342,0.502,0.00746088
0.504,0.934923,0.504,0.00875404,0.504,0.00774881,0.504,0.00747549
0.506,0.936973,0.506,0.00877162,0.506,0.00776829,0.506,0.00748554
0.508,0.938994,0.508,0.00878481,0.508,0.00777803,0.508,0.00749528
0.51,0.940986,0.51,0.00879799,0.51,0.00779264,0.51,0.0075099
0.512,0.942949,0.512,0.00883315,0.512,0.00782186,0.512,0.00753912
0.514,0.944882,0.514,0.0088683,0.514,0.00785108,0.514,0.00756834
0.516,0.946785,0.516,0.00888588,0.516,0.00787057,0.516,0.00758782
0.518,0.948658,0.518,0.00890126,0.518,0.00788518,0.518,0.00760243
0.52,0.950501,0.52,0.00891445,0.52,0.00789979,0.52,0.00761704
0.522,0.952314,0.522,0.00892763,0.522,0.0079144,0.522,0.00763166
0.524,0.954096,0.524,0.00895619,0.524,0.00794362,0.524,0.00766088
0.526,0.955847,0.526,0.00898476,0.526,0.00798259,0.526,0.00769984
0.528,0.957567,0.528,0.00900014,0.528,0.0079972,0.528,0.00771445
0.53,0.959257,0.53,0.00901113,0.53,0.00801668,0.53,0.00773393
0.532,0.960915,0.532,0.00901992,0.532,0.00803129,0.532,0.00774855
0.534,0.962541,0.534,0.0090309,0.534,0.0080459,0.534,0.00776316
0.536,0.964135,0.536,0.00905507,0.536,0.00807999,0.536,0.00779725
0.538,0.965698,0.538,0.00908584,0.538,0.00811896,0.538,0.00783621
0.54,0.967228,0.54,0.00909902,0.54,0.00813844,0.54,0.00785569
0.542,0.968727,0.542,0.00911001,0.542,0.00815305,0.542,0.00787031
0.544,0.970192,0.544,0.0091188,0.544,0.00816766,0.544,0.00788492
0.546,0.971625,0.546,0.00912978,0.546,0.00818227,0.546,0.00789953
0.548,0.973025,0.548,0.00915175,0.548,0.00822124,0.548,0.00793849
0.55,0.974392,0.55,0.00918032,0.55,0.0082602,0.55,0.00797745
0.552,0.975725,0.552,0.0091935,0.552,0.00827968,0.552,0.00799694
0.554,0.977025,0.554,0.00920669,0.554,0.00829429,0.554,0.00801155
0.556,0.978291,0.556,0.00921548,0.556,0.0083089,0.556,0.00802616
0.558,0.979524,0.558,0.00922646,0.558,0.00832351,0.558,0.00804077
0.56,0.980722,0.56,0.00924844,0.56,0.00836248,0.56,0.00807973
0.562,0.981886,0.562,0.00927261,0.562,0.00840144,0.562,0.0081187
0.564,0.983016,0.564,0.00928359,0.564,0.00841605,0.564,0.00813331
